cond,seed,config,method,job,site,fed_auroc,fed_auprc,own_gain,local_auroc,local_auprc,prevalence,best_epoch_mean,delta_auroc,delta_auprc
10.0_0.5,456,A_gammA_S,scaffold,alpha10.0_gamma0.5_seed456/scaffold,site_A,0.7858786620862108,0.5078542954376243,0.0564274128939569,0.792298,0.519396,0.1902,8.6,-0.006419337913789125,-0.011541704562375688
10.0_0.5,456,A_gammA_S,scaffold,alpha10.0_gamma0.5_seed456/scaffold,site_B,0.7657820734960323,0.4654079240319668,0.0545661947172305,0.773608,0.479993,0.1693,8.0,-0.007825926503967628,-0.014585075968033212
10.0_0.5,456,A_gammA_S,scaffold,alpha10.0_gamma0.5_seed456/scaffold,site_C,0.7753586795452556,0.4371546452505717,0.0591933768675826,0.778541,0.5112,0.1742,5.6,-0.003182320454744425,-0.0740453547494283
10.0_0.5,456,A_gammA_S,scaffold,alpha10.0_gamma0.5_seed456/scaffold,site_D,0.7558933058638073,0.3924891559625014,0.0466944483463658,0.765263,0.445275,0.1647,5.8,-0.009369694136192708,-0.052785844037498586
10.0_0.5,456,A_gammA_S,scaffold,alpha10.0_gamma0.5_seed456/scaffold,site_E,0.7807603586350975,0.4817996986585582,0.0214561835274753,0.783092,0.488498,0.162,13.2,-0.0023316413649024925,-0.006698301341441781
10.0_0.5,456,A_gammA_S,fedadapt,alpha10.0_gamma0.5_seed456/fedadapt,site_A,0.7788782898633555,0.503889821870718,0.0494270406711015,0.792298,0.519396,0.1902,8.6,-0.013419710136644447,-0.015506178129282011
10.0_0.5,456,A_gammA_S,fedadapt,alpha10.0_gamma0.5_seed456/fedadapt,site_B,0.7556967688291297,0.4547914222661754,0.0444808900503279,0.773608,0.479993,0.1693,8.0,-0.017911231170870234,-0.025201577733824587
10.0_0.5,456,A_gammA_S,fedadapt,alpha10.0_gamma0.5_seed456/fedadapt,site_C,0.7764854215722365,0.4741646530960258,0.0603201188945635,0.778541,0.5112,0.1742,5.6,-0.0020555784277634936,-0.0370353469039742
10.0_0.5,456,A_gammA_S,fedadapt,alpha10.0_gamma0.5_seed456/fedadapt,site_D,0.7583243589143294,0.4219271016626714,0.0491255013968878,0.765263,0.445275,0.1647,5.8,-0.00693864108567066,-0.023347898337328588
10.0_0.5,456,A_gammA_S,fedadapt,alpha10.0_gamma0.5_seed456/fedadapt,site_E,0.7806350632016544,0.4820695600961918,0.0213308880940322,0.783092,0.488498,0.162,13.2,-0.002456936798345577,-0.006428439903808203
